a52dec 0.7.4-11
python-texttable 1.6.4-3
python-toml 0.10.2-8
python-tomli 2.0.1-1
python-tqdm 4.64.1-1
python-trove-classifiers 2022.10.19-1
python-typing_extensions 4.4.0-1
python-urllib3 1.26.12-1
python-validate-pyproject 0.10.1-1
python-webcolors 1.12-1
python-webencodings 0.5.1-9
python-websocket-client 1.4.1-1
python-wheel 0.37.1-1
python-yaml 6.0-1
python-zipp 3.10.0-1
python-zope-component 5.0.1-3
python-zope-deferredimport 4.4-1
python-zope-deprecation 4.4.0-7
python-zope-event 4.5.0-6
python-zope-hookable 5.2-1
python-zope-interface 5.5.0-1
python-zope-proxy 4.5.1-1
qca-qt5 2.3.5-1
qgis 3.26.3-1
qhull 2020.2-4
qrupdate 1.1.2-4
qscintilla-qt5 2.13.3-1
qt5-3d 5.15.6+kde+r6-1
qt5-base 5.15.6+kde+r181-1
qt5-declarative 5.15.6+kde+r20-1
qt5-graphicaleffects 5.15.6+kde+r0-1
qt5-imageformats 5.15.6+kde+r4-1
qt5-location 5.15.6+kde+r3-1
qt5-multimedia 5.15.6+kde+r1-1
qt5-quickcontrols 5.15.6+kde+r0-1
qt5-quickcontrols2 5.15.6+kde+r5-1
qt5-sensors 5.15.6+kde+r0-1
qt5-serialport 5.15.6+kde+r0-1
qt5-svg 5.15.6+kde+r9-1
qt5-tools 5.15.6+kde+r1-1
qt5-translations 5.15.6+kde+r2-1
qt5-wayland 5.15.6+kde+r50-1
qt5-webchannel 5.15.6+kde+r3-1
qt5-webkit 5.212.0alpha4-17
qt5-x11extras 5.15.6+kde+r0-1
qt5-xmlpatterns 5.15.6+kde+r0-1
qt6-base 6.4.0-2
qt6-translations 6.4.0-1
qtkeychain-qt5 0.13.2-1
qwt 6.2.0-1
r 4.2.1-3
radare2 5.6.6-3
radeontop 1.4-1
ragel 6.10-3
ranger 1.9.3-4
raptor 2.0.15-20
rasqal 1:0.9.33-5
rav1e 0.5.1-2
re2 1:20220601-1
re2c 3.0-1
readline 8.1.002-1
recode 3.7.12-1
redland 1:1.0.17-8
rest 0.8.1+r4+ge5ee6ef-1
rhash 1.4.2-1
ripgrep 13.0.0-2
rlwrap 0.46-1
rofi 1.7.5-1
rtkit 0.13-2
rtmidi 5.0.0-1
ruby 3.0.4-18
ruby-abbrev 0.1.0-3
ruby-addressable 2.8.1-1
ruby-base64 0.1.1-3
ruby-benchmark 0.2.0-3
ruby-bigdecimal 3.1.2-3
ruby-bundledgems 3.0.4-18
ruby-bundler 2.3.23-1
ruby-cgi 0.3.3-1
ruby-csv 3.2.5-3
ruby-date 3.2.2-3
ruby-delegate 0.2.0-3
ruby-did_you_mean 1.6.1-3
ruby-digest 3.1.0-5
ruby-drb 2.1.0-4
ruby-english 0.7.1-3
ruby-erb 2.2.3-4
ruby-etc 1.3.0-5
ruby-fcntl 1.0.1-3
ruby-fiddle 1.1.0-3
ruby-fileutils 1.6.0-3
ruby-find 0.1.1-3
ruby-forwardable 1.3.2-5
ruby-getoptlong 0.1.1-2
ruby-io-console 0.5.11-2
ruby-io-nonblock 0.1.0-2
ruby-io-wait 0.2.3-3
ruby-ipaddr 1.2.4-2
ruby-irb 1.4.2-1
ruby-json 2.6.2-2
ruby-logger 1.5.1-2
ruby-minitest 5.16.3-1
ruby-mutex_m 0.1.1-2
ruby-net-http 0.2.2-2
ruby-open-uri 0.2.0-3
ruby-power_assert 2.0.2-1
ruby-psych 4.0.6-1
ruby-public_suffix 5.0.0-1
ruby-racc 1.6.0-3
ruby-rake 13.0.6-1
ruby-rdoc 6.4.0-4
ruby-reline 0.3.1-2
ruby-rexml 3.2.5-1
ruby-ruby2_keywords 0.0.5-1
ruby-stdlib 3.0.4-18
ruby-stringio 3.0.2-4
ruby-test-unit 3.5.5-1
ruby-time 0.2.0-4
ruby-tmpdir 0.1.2-3
ruby-uri 0.11.0-5
rubygems 3.3.23-1
run-parts 5.5-1
runc 1.1.4-1
rust-analyzer 20221024-1
rust-src 1:1.64.0-1
rustup 1.25.1-1
sbc 2.0-1
screen 4.9.0-1
sddm 0.19.0-9
sdl12-compat 1.2.56-1
sdl2 2.24.1-1
seahorse 1:42.0-1
sed 4.8-1
semver 7.3.8-1
serd 0.30.16-1
shaderc 2022.1-4
shadow 4.11.1-3
shairplay 20180824.096b61a-3
shared-mime-info 2.0+155+gf4e7cbc-1
slang 2.3.3-1
smbclient 4.17.2-1
snappy 1.1.9-2
sndio 1.9.0-1
sord 0.16.14-1
sound-theme-freedesktop 0.8-5
soundtouch 2.3.1-2
source-highlight 3.1.9-9
spandsp 0.0.6-3
spatialindex 1.9.3-1
speex 1.2.1-1
speexdsp 1.2.1-1
spicetify-cli 2.14.0-1
spirv-tools 2022.1-1
spotify 1:1.1.84.716-2
spotify-tui 0.25.0-2
sqlite 3.39.4-1
sratom 0.6.14-1
srt 1.5.1-1
startup-notification 0.12-7
stfl 0.24-5
strace 5.19-1
stress 1.0.5-1
sudo 1.9.12-1
suil 0.10.18-1
suitesparse 5.13.0-1
sundials 6.4.0-1
svt-av1 1.3.0-1
sxhkd 0.6.2-2
sysfsutils 2.1.1-1
systemd 251.7-1
systemd-libs 251.7-1
systemd-sysvcompat 251.7-1
t1lib 5.1.2-8
taglib 1.12-2
talloc 2.3.4-1
tar 1.34-1
tbb 2021.5.0-2
tcl 8.6.12-3
tcpdump 4.99.1-1
tcsh 6.24.01-2
tdb 1.4.7-1
teams 1.5.00.23861-1
tevent 1:0.13.0-1
texinfo 6.8-2
texlive-bibtexextra 2022.63023-1
texlive-bin 2022.62885-2
texlive-core 2022.63035-1
texlive-formatsextra 2022.62529-1
texlive-latexextra 2022.63034-1
texlive-science 2022.62977-1
thin-provisioning-tools 0.9.0-1
thrift 0.17.0-1
thunar 4.16.11-2
tint2 17.0.2-2
tinyxml 2.6.2-9
tinyxml2 9.0.0-1
tk 8.6.12-1
tldr 3.1.0-2
tpm2-tss 3.2.0-1
tracker3 3.4.0-2
tree 2.0.4-1
tree-sitter 0.20.7-1
tslib 1.22-1
ttf-hack-nerd 2.2.2-2
ttf-liberation 2.1.5-1
ttf-meslo-nerd-font-powerlevel10k 1.000-3
ttf-nerd-fonts-symbols-2048-em 2.2.2-4
ttf-nerd-fonts-symbols-common 2.2.2-4
ttf-opensans 1.101-2
twolame 0.4.0-2
tzdata 2022e-1
udisks2 2.9.4-1
udisks2-qt5 5.0.6-1
unibilium 2.1.1-1
unixodbc 2.3.11-1
unrar 1:6.1.7-1
unzip 6.0-19
upower 1.90.0-1
usbmuxd 1.1.1-1
usbutils 014-2
util-linux 2.38.1-1
util-linux-libs 2.38.1-1
v4l-utils 1.22.1-1
valgrind 3.19.0-5
vamp-plugin-sdk 2.10.0-1
vi 1:070224-6
vid.stab 1.1-3
vim 9.0.0354-1
vim-runtime 9.0.0354-1
virtualbox 7.0.2-1
virtualbox-ext-oracle 6.1.38-1
virtualbox-host-modules-arch 7.0.2-1
visual-studio-code-bin 1.72.0-1
vlc 3.0.17.4-10
vmaf 2.3.1-1
vmware-horizon-client 2206-1
vmware-keymaps 1.0-3
volume_key 0.3.12-7
vulkan-headers 1:1.3.227-1
vulkan-icd-loader 1.3.226-1
w3m 0.5.3.git20220409_1-1
wavpack 5.5.0-1
wayland 1.21.0-1
wayland-protocols 1.27-1
waylandpp 1.0.0-1
webkit2gtk 2.38.1-1
webrtc-audio-processing 0.3.1-3
wfuzz 3.1.0-1
wget 1.21.3-1
whatweb 0.5.5-1
which 2.21-5
wildmidi 0.4.4-1
wireshark-cli 4.0.0-1
wireshark-qt 4.0.0-1
wkhtmltopdf 0.12.6-1
woff2 1.0.2-4
wpa_supplicant 2:2.10-5
wpebackend-fdo 1.14.0-1
wxwidgets-common 3.2.1-1
wxwidgets-gtk3 3.2.1-1
x264 3:0.164.r3095.baee400-4
x265 3.5-3
xbitmaps 1.1.2-3
xcb-proto 1.15.2-1
xcb-util 0.4.0-4
xcb-util-cursor 0.1.4-1
xcb-util-image 0.4.1-2
xcb-util-keysyms 0.4.1-4
xcb-util-renderutil 0.3.10-1
xcb-util-wm 0.4.2-1
xcb-util-xrm 1.3-2
xclip 0.13-3
xcolor 0.5.1-3
xdg-dbus-proxy 0.1.4-1
xdg-utils 1.1.3+21+g1a58bc2-2
xerces-c 3.2.3-7
xf86-input-libinput 1.2.1-1
xf86-input-synaptics 1.9.2-1
xf86-video-vesa 2.5.0-3
xfconf 4.16.0-2
xfsprogs 5.19.0-2
xkeyboard-config 2.37-1
xmlsec 1.2.34-2
xob 0.3-1
xorg-bdftopcf 1.1.1-1
xorg-docs 1.7.2-1
xorg-font-util 1.3.3-1
xorg-fonts-100dpi 1.0.3-7
xorg-fonts-75dpi 1.0.3-7
xorg-fonts-alias-100dpi 1.0.4-1
xorg-fonts-alias-75dpi 1.0.4-1
xorg-fonts-encodings 1.0.6-1
xorg-iceauth 1.0.9-1
xorg-mkfontscale 1.2.2-1
xorg-server 21.1.4-1
xorg-server-common 21.1.4-1
xorg-server-devel 21.1.4-1
xorg-server-xephyr 21.1.4-1
xorg-server-xnest 21.1.4-1
xorg-server-xvfb 21.1.4-1
xorg-sessreg 1.1.2-3
xorg-setxkbmap 1.3.3-1
xorg-smproxy 1.0.7-1
xorg-util-macros 1.19.3-1
xorg-x11perf 1.6.1-3
xorg-xauth 1.1.2-1
xorg-xbacklight 1.2.3-3
xorg-xcmsdb 1.0.6-1
xorg-xcursorgen 1.0.7-3
xorg-xdpyinfo 1.3.3-4
xorg-xdriinfo 1.0.6-3
xorg-xev 1.2.5-1
xorg-xgamma 1.0.6-4
xorg-xhost 1.0.8-3
xorg-xinput 1.6.3-3
xorg-xkbcomp 1.4.5-1
xorg-xkbevd 1.1.4-4
xorg-xkbutils 1.0.5-1
xorg-xkill 1.0.5-3
xorg-xlsatoms 1.1.3-3
xorg-xlsclients 1.1.4-3
xorg-xmessage 1.0.6-1
xorg-xmodmap 1.0.11-1
xorg-xpr 1.1.0-1
xorg-xprop 1.2.5-1
xorg-xrandr 1.5.1-2
xorg-xrdb 1.2.1-1
xorg-xrefresh 1.0.7-1
xorg-xset 1.2.4-3
xorg-xsetroot 1.1.2-3
xorg-xvinfo 1.1.4-3
xorg-xwayland 22.1.4-2
xorg-xwd 1.0.8-1
xorg-xwininfo 1.1.5-3
xorg-xwud 1.0.6-1
xorgproto 2022.2-1
xterm 374-1
xvidcore 1.3.7-2
xxhash 0.8.1-2
xz 5.2.7-1
yajl 2.1.0-5
yaml-cpp 0.7.0-2
yay-git 11.3.0.r6.g70695d7-1
youtube-dl 2021.12.17-1
zathura 0.5.1-1
zathura-pdf-poppler 0.3.0-1
zeromq 4.3.4-2
zimg 3.0.4-1
zip 3.0-10
zita-alsa-pcmi 0.5.1-1
zita-resampler 1.8.0-1
zlib 1:1.2.13-1
zsh 5.9-1
zsh-antidote 1.6.4-1
zsh-autosuggestions 0.7.0-1
zsh-theme-powerlevel10k-git r3931.4f3d2ff-1
zstd 1.5.2-7
zxing-cpp 1.4.0-1
zziplib 0.13.72-1
